%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82529.758,298.787,0.962,24.973,300.045,298.885,-7.026,-3.901,-2.352,-1.461,-0.648,-5.915,-5.979,-5.351,-3.684,-0.417,0.845,-5.098,0.838,-1.045,-2.695,-5.742,0.000,-544.798,-289.718,14.557,18.004,-11.972
82521.695,298.784,0.962,24.977,300.124,298.885,-7.351,-4.013,-3.634,-2.610,-1.511,-5.085,-6.300,-6.636,-3.572,-1.876,0.528,-6.160,0.942,-1.672,-3.006,-4.728,0.000,-544.798,-289.718,14.557,17.988,-11.992
82525.726,298.788,0.962,24.973,300.045,298.885,-8.107,-4.570,-2.565,-2.505,-0.864,-5.085,-6.300,-6.207,-3.907,-1.459,-0.105,-6.691,0.733,-1.776,-3.420,-5.291,0.000,-544.798,-289.718,14.557,18.004,-11.972
82525.726,298.784,0.962,24.973,300.045,298.725,-8.215,-4.793,-2.779,-2.297,-1.943,-5.707,-6.300,-5.993,-3.572,-0.729,1.162,-6.797,0.942,-0.940,-3.835,-4.841,0.000,-544.798,-289.718,14.557,17.988,-11.972
82521.695,298.784,0.962,24.977,300.124,298.725,-7.351,-4.570,-3.206,-1.984,-1.079,-6.019,-5.979,-6.314,-4.130,-1.563,0.106,-6.372,0.524,-1.567,-3.524,-6.305,0.000,-544.798,-289.718,14.557,18.004,-11.962
82513.632,298.785,0.962,24.981,300.203,298.885,-7.891,-4.682,-2.779,-2.192,-1.187,-4.877,-6.834,-6.207,-4.019,-1.563,0.528,-5.841,1.571,-1.463,-3.006,-4.503,0.000,-544.798,-289.718,14.557,17.988,-11.982
82521.695,298.780,0.962,24.983,300.282,298.885,-7.891,-4.013,-2.137,-1.566,-0.864,-4.877,-5.446,-6.207,-3.349,-0.938,0.423,-5.841,0.733,-1.149,-2.902,-4.503,0.000,-544.798,-289.718,14.557,17.988,-11.962
82521.695,298.784,0.962,24.980,300.203,298.565,-6.918,-5.016,-2.779,-1.984,-0.648,-5.085,-5.339,-5.458,-3.796,-1.251,1.056,-6.584,1.047,-1.045,-3.420,-5.404,0.000,-544.798,-289.718,14.557,18.004,-11.972
82529.758,298.784,0.962,24.986,300.361,298.565,-7.567,-3.901,-3.420,-2.088,-1.511,-6.019,-6.513,-6.207,-3.572,-1.876,-0.105,-5.735,0.524,-1.254,-2.798,-5.179,0.000,-544.798,-289.718,14.557,17.988,-11.972
82521.695,298.780,0.962,24.983,300.282,298.725,-7.243,-4.013,-2.137,-1.462,-0.648,-4.670,-6.300,-5.458,-2.902,-0.834,0.740,-5.629,1.257,-1.881,-3.420,-4.728,0.000,-544.798,-289.718,14.557,18.021,-11.972
