%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83662.580,301.489,0.967,14.805,105.948,84.307,-6.701,-3.009,-1.924,-1.774,-0.756,-4.358,-5.446,-5.565,-3.795,-1.355,1.584,-4.885,1.675,-0.836,-2.695,-4.277,0.000,-544.798,-289.718,14.557,-178.108,7.973
83658.548,301.489,0.967,14.805,105.948,84.307,-7.890,-3.344,-2.031,-1.566,-0.972,-4.255,-4.912,-5.350,-3.349,-0.521,0.845,-5.309,1.152,-0.522,-2.902,-4.389,0.000,-544.798,-289.718,14.557,-178.059,7.962
83658.548,301.489,0.967,14.805,105.948,83.986,-6.485,-3.789,-2.458,-0.939,-0.864,-4.877,-5.339,-5.672,-3.237,-0.417,1.690,-5.946,1.466,-0.104,-2.591,-4.502,0.000,-544.798,-289.718,14.557,-178.092,7.973
83654.517,301.488,0.967,14.811,106.027,84.146,-7.025,-3.232,-2.779,-1.670,-0.432,-5.292,-4.912,-5.672,-3.125,-0.938,1.690,-5.309,0.838,0.000,-2.384,-5.177,0.000,-544.798,-289.718,14.557,-178.092,7.962
83662.580,301.488,0.967,14.816,106.106,84.307,-6.917,-3.121,-1.389,-1.461,-1.079,-4.566,-5.766,-5.243,-3.237,-1.042,0.951,-5.097,1.885,-0.731,-2.591,-4.277,0.000,-544.798,-289.718,14.557,-178.092,7.952
83662.580,301.489,0.967,14.805,105.948,84.307,-7.566,-3.678,-2.565,-0.835,-0.864,-4.358,-5.125,-6.100,-3.125,-0.313,0.951,-4.885,0.942,-0.209,-3.109,-4.952,0.000,-544.798,-289.718,14.557,-178.076,7.973
83658.548,301.488,0.967,14.805,105.948,84.146,-6.593,-4.235,-2.244,-1.357,-0.108,-4.670,-5.019,-5.029,-3.014,-0.729,1.584,-5.203,1.256,-0.313,-2.177,-4.727,0.000,-544.798,-289.718,14.557,-178.092,7.952
83658.548,301.486,0.967,14.794,105.790,84.146,-7.134,-3.009,-2.565,-1.148,-0.432,-4.670,-4.912,-5.457,-2.567,-0.834,1.690,-5.203,1.152,-0.418,-2.488,-4.052,0.000,-544.798,-289.718,14.557,-178.092,7.952
83658.548,301.486,0.967,14.805,105.948,84.146,-6.917,-3.232,-1.496,-2.192,-0.432,-4.358,-5.552,-5.672,-2.679,-0.417,1.056,-4.991,1.256,-1.045,-2.384,-4.614,0.000,-544.798,-289.718,14.557,-178.076,7.983
83658.548,301.488,0.967,14.805,105.948,84.146,-6.269,-4.124,-2.244,-1.461,-1.187,-4.877,-5.446,-5.672,-2.679,-0.938,1.584,-5.946,1.256,0.209,-2.902,-4.277,0.000,-544.798,-289.718,14.557,-178.108,7.973
83658.548,301.486,0.967,14.800,105.869,84.146,-6.377,-3.789,-1.924,-1.566,-0.648,-5.085,-5.019,-5.243,-3.237,-0.417,1.479,-4.991,1.361,0.105,-1.969,-4.840,0.000,-544.798,-289.718,14.557,-178.092,7.983
83666.611,301.488,0.967,14.805,105.948,84.146,-6.377,-3.455,-2.565,-1.044,-0.540,-3.736,-5.552,-5.029,-2.567,-1.250,1.479,-5.522,1.361,-0.731,-3.109,-4.277,0.000,-544.798,-289.718,14.557,-178.076,7.973
83662.580,301.491,0.967,14.805,105.948,84.307,-7.458,-3.678,-2.244,-1.670,-0.972,-4.566,-5.339,-5.565,-3.237,-0.208,0.951,-4.885,1.256,-0.522,-2.695,-4.502,0.000,-544.798,-289.718,14.557,-178.076,7.962
83666.611,301.489,0.967,14.816,106.106,84.307,-6.593,-4.347,-2.565,-1.357,-0.864,-4.462,-5.232,-5.350,-2.790,-0.313,1.373,-5.946,1.256,-0.000,-2.384,-4.614,0.000,-544.798,-289.718,14.557,-178.076,7.952
83662.580,301.489,0.967,14.805,105.948,84.467,-7.025,-3.567,-2.458,-1.775,0.108,-4.670,-5.339,-5.457,-2.679,-0.729,1.056,-5.415,0.838,-0.627,-2.384,-4.727,0.000,-544.798,-289.718,14.557,-178.059,7.952
83662.580,301.486,0.967,14.805,105.948,84.627,-7.134,-3.678,-2.031,-1.461,-0.864,-4.255,-5.339,-5.350,-2.679,-0.834,1.056,-5.415,2.094,-0.731,-2.280,-3.939,0.000,-544.798,-289.718,14.557,-178.108,7.973
83658.548,301.488,0.967,14.811,106.027,84.467,-7.242,-3.567,-2.138,-1.044,-0.756,-4.566,-5.125,-6.100,-3.349,-0.313,1.162,-5.628,1.047,-0.000,-2.902,-4.614,0.000,-544.798,-289.718,14.557,-178.092,7.973
83658.548,301.486,0.967,14.811,106.027,84.146,-6.485,-4.458,-2.244,-1.253,-0.324,-4.774,-5.446,-5.136,-3.683,-0.208,1.268,-5.946,1.361,-0.418,-1.866,-4.840,0.000,-544.798,-289.718,14.557,-178.092,7.962
83654.517,301.489,0.967,14.811,106.027,84.146,-7.350,-3.567,-2.458,-1.461,-0.540,-4.358,-5.232,-5.886,-3.014,-1.459,0.951,-5.309,1.152,-0.104,-2.488,-4.164,0.000,-544.798,-289.718,14.557,-178.076,7.962
83662.580,301.486,0.967,14.811,106.027,84.627,-7.458,-3.678,-1.817,-2.401,-0.324,-4.151,-5.019,-5.243,-3.014,-0.729,0.845,-5.097,1.361,-0.522,-2.488,-4.052,0.000,-544.798,-289.718,14.557,-178.092,7.962
83662.580,301.486,0.967,14.811,106.027,84.467,-6.593,-4.012,-2.138,-1.253,-1.403,-4.566,-5.232,-5.565,-2.456,-0.417,1.585,-5.840,1.361,-0.000,-3.109,-3.939,0.000,-544.798,-289.718,14.557,-178.092,7.952
83662.580,301.486,0.967,14.816,106.106,84.467,-6.053,-3.232,-1.710,-1.357,0.649,-4.981,-5.125,-4.922,-2.679,-0.938,1.268,-5.097,1.570,-0.418,-2.384,-4.840,0.000,-544.798,-289.718,14.557,-178.092,7.983
83662.580,301.488,0.967,14.816,106.106,84.307,-6.809,-3.232,-2.244,-1.461,-0.864,-4.047,-5.766,-5.779,-2.902,-1.250,1.479,-5.309,1.570,-0.522,-2.488,-4.164,0.000,-544.798,-289.718,14.557,-178.092,7.962
83662.580,301.489,0.967,14.811,106.027,84.307,-7.242,-3.678,-2.244,-1.148,-0.648,-4.774,-4.805,-5.886,-3.125,-0.313,0.845,-5.415,1.675,-0.209,-2.384,-4.502,0.000,-544.798,-289.718,14.557,-178.092,7.952
83654.517,301.489,0.967,14.811,106.027,84.467,-6.593,-4.347,-2.031,-1.044,-0.756,-4.151,-4.698,-4.922,-3.795,-0.625,1.479,-6.053,1.675,0.209,-2.177,-4.052,0.000,-544.798,-289.718,14.557,-178.076,7.983
83658.548,301.488,0.967,14.822,106.185,84.467,-7.242,-3.009,-2.672,-1.566,-0.432,-4.877,-5.125,-5.029,-2.902,-0.729,1.585,-4.885,0.942,-0.313,-2.798,-4.502,0.000,-544.798,-289.718,14.557,-178.059,7.983
83654.517,301.489,0.967,14.822,106.185,84.307,-6.269,-3.455,-1.710,-1.253,-0.864,-4.358,-5.552,-4.922,-3.125,-0.625,1.268,-5.522,1.989,-1.254,-2.280,-4.164,0.000,-544.798,-289.718,14.557,-178.076,7.962
