%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83912.526,299.213,0.977,15.032,110.374,109.086,-7.781,-4.904,-3.099,-2.088,-0.648,-5.811,-6.513,-6.1,-4.465,-1.979,0.317,-6.265,0.524,-1.463,-3.006,-6.191,-0.02,-544.798,-289.718,14.557,120.084,-40.078
83920.589,299.216,0.977,15.031,110.374,108.766,-7.348,-3.567,-3.206,-1.983,-2.051,-5.396,-6.834,-6.314,-3.684,-2.5,0.106,-6.159,0.628,-1.985,-3.628,-5.853,0.001,-544.798,-289.718,14.557,120.116,-40.109
83916.558,299.216,0.977,15.015,110.137,108.926,-8.645,-5.015,-3.099,-2.714,-1.403,-5.604,-6.193,-7.063,-4.689,-1.979,-0.738,-6.159,0.419,-1.776,-3.42,-5.065,0.001,-544.798,-289.718,14.557,120.1,-40.068
83916.558,299.214,0.977,15.02,110.216,108.766,-6.916,-5.238,-2.993,-2.296,-1.727,-5.292,-6.193,-6.207,-4.131,-1.667,0.317,-7.008,0.733,-1.881,-3.524,-5.966,0.011,-544.798,-289.718,14.557,120.084,-40.088
83920.589,299.213,0.977,15.02,110.216,109.086,-8.105,-5.127,-3.634,-2.923,-0.972,-5.915,-6.407,-5.671,-3.349,-2.396,0.423,-6.159,0.209,-1.045,-3.109,-5.741,-0.02,-544.798,-289.718,14.557,120.133,-40.088
83912.526,299.214,0.977,15.015,110.137,108.766,-8.321,-4.347,-3.099,-2.61,-1.727,-5.189,-7.474,-5.886,-3.684,-1.875,0.317,-6.053,0.105,-1.985,-3.317,-5.291,-0.02,-544.798,-289.718,14.557,120.133,-40.088
83912.526,299.211,0.977,15.021,110.216,108.766,-8.321,-4.57,-3.206,-1.983,-1.727,-5.085,-5.98,-6.849,-3.684,-1.563,-0.316,-6.265,0.314,-1.358,-3.628,-6.304,-0.009,-544.798,-289.718,14.557,120.116,-40.109
83912.526,299.213,0.977,15.015,110.137,108.606,-7.997,-5.796,-2.886,-2.401,-1.079,-5.811,-6.3,-6.207,-4.689,-1.875,0.634,-6.69,0,-1.149,-3.524,-5.853,-0.03,-544.798,-289.718,14.557,120.116,-40.088
83908.495,299.211,0.977,15.021,110.216,108.926,-7.24,-4.235,-3.848,-2.818,-1.295,-5.5,-5.873,-5.564,-3.907,-2.292,-0.211,-6.371,-0.105,-1.045,-3.628,-5.966,-0.02,-544.798,-289.718,14.557,120.1,-40.109
83912.526,299.213,0.977,15.015,110.137,108.926,-7.781,-4.793,-2.886,-2.923,-1.511,-5.396,-7.047,-6.314,-4.018,-2.084,-0.527,-6.69,0.209,-2.299,-3.524,-5.741,-0.03,-544.798,-289.718,14.557,120.116,-40.078
83912.526,299.211,0.977,15.015,110.137,108.926,-8.213,-5.127,-2.886,-2.61,-1.295,-5.811,-6.62,-7.063,-4.13,-1.98,0.528,-6.477,0.524,-1.567,-4.457,-5.291,-0.009,-544.798,-289.718,14.557,120.084,-40.109
83912.526,299.209,0.977,15.021,110.216,108.926,-7.457,-5.907,-3.206,-2.401,-2.159,-6.123,-6.193,-6.314,-4.576,-1.98,0.211,-6.902,0.419,-1.149,-3.524,-6.304,-0.009,-544.798,-289.718,14.557,120.084,-40.099
83904.464,299.213,0.977,15.016,110.137,108.766,-8.105,-4.904,-4.382,-2.714,-2.159,-5.915,-6.3,-6.207,-4.018,-2.396,0.317,-6.265,-0.209,-1.567,-3.524,-5.516,-0.041,-544.798,-289.718,14.557,120.1,-40.088
83908.495,299.211,0.977,15.016,110.137,108.926,-8.105,-5.35,-3.42,-3.445,-2.051,-5.811,-6.513,-5.993,-4.241,-1.459,-0.105,-6.265,0.733,-2.612,-3.939,-5.628,-0.03,-544.798,-289.718,14.557,120.084,-40.099
83908.495,299.208,0.977,15.016,110.137,108.926,-7.997,-5.684,-3.527,-2.192,-1.511,-5.707,-6.086,-6.528,-4.241,-1.876,0.106,-6.265,0.524,-1.045,-4.353,-5.741,-0.041,-544.798,-289.718,14.557,120.084,-40.078
83908.495,299.211,0.977,15.016,110.137,109.086,-7.889,-4.904,-3.206,-2.714,-1.727,-6.123,-6.407,-6.314,-4.688,-1.771,0.634,-6.583,0,-1.463,-2.902,-6.416,-0.02,-544.798,-289.718,14.557,120.149,-40.099
83904.464,299.211,0.977,15.005,109.979,109.086,-8.213,-4.793,-3.741,-2.923,-2.051,-5.604,-6.834,-6.742,-4.018,-2.917,0.106,-7.008,0.524,-1.881,-3.317,-5.291,-0.03,-544.798,-289.718,14.557,120.1,-40.088
83904.464,299.211,0.977,15.005,109.979,109.086,-8.429,-4.793,-3.099,-2.505,-1.511,-5.707,-6.086,-6.1,-3.907,-1.355,-0.316,-6.159,0.628,-1.776,-3.524,-5.628,-0.03,-544.798,-289.718,14.557,120.084,-40.088
83900.432,299.208,0.977,15.011,110.058,109.086,-7.781,-5.238,-3.42,-2.088,-1.835,-5.396,-6.62,-5.457,-3.907,-1.459,0,-6.796,1.047,-1.776,-3.42,-5.966,-0.03,-544.798,-289.718,14.557,120.133,-40.099
83908.495,299.209,0.977,15.01,110.058,109.246,-7.889,-4.793,-3.42,-2.401,-1.403,-6.226,-6.193,-5.885,-4.018,-1.98,0.317,-6.371,0.524,-1.254,-3.317,-5.853,-0.02,-544.798,-289.718,14.557,120.1,-40.068
83912.526,299.209,0.977,15.005,109.979,109.246,-7.781,-4.124,-3.099,-2.505,-1.187,-5.085,-6.407,-5.671,-3.907,-1.98,0,-6.371,0.419,-2.403,-4.353,-5.853,-0.041,-544.798,-289.718,14.557,120.116,-40.078
83904.464,299.206,0.977,15.011,110.058,109.246,-8.537,-4.793,-3.313,-2.296,-1.187,-5.292,-6.3,-6.742,-3.907,-1.667,-0.422,-7.008,0.524,-1.567,-3.317,-5.291,-0.051,-544.798,-289.718,14.557,120.1,-40.078
83896.401,299.206,0.977,15.006,109.979,108.766,-7.348,-5.684,-2.779,-2.401,-1.727,-5.707,-6.193,-6.1,-4.8,-1.667,0.211,-7.645,0.314,-1.567,-3.939,-5.403,-0.02,-544.798,-289.718,14.557,120.133,-40.109
