%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83936.715,299.612,0.976,24.978,304.457,303.061,-7.889,-5.573,-3.954,-2.192,-2.375,-6.226,-7.154,-7.063,-4.689,-1.563,0.423,-7.539,0.209,-1.254,-4.664,-5.516,-6.595,-544.798,-289.718,14.557,90.015,-35.003
83928.652,299.614,0.976,24.983,304.536,303.221,-8.105,-5.127,-3.634,-2.610,-1.187,-6.226,-6.300,-5.993,-4.465,-1.979,-0.105,-6.477,-0.209,-1.567,-3.420,-6.304,-6.626,-544.798,-289.718,14.557,90.015,-34.993
83940.746,299.612,0.976,24.974,304.378,303.381,-7.781,-4.793,-3.099,-2.296,-0.972,-5.189,-7.154,-6.100,-3.907,-1.979,0.423,-6.371,0.209,-1.672,-4.146,-5.178,-6.615,-544.798,-289.718,14.557,89.999,-35.014
83940.746,299.611,0.976,24.984,304.615,303.221,-8.753,-4.793,-3.313,-2.714,-1.835,-5.500,-6.086,-6.421,-3.796,-1.771,0.000,-6.371,1.152,-1.463,-3.109,-4.953,-6.615,-544.798,-289.718,14.557,89.999,-35.014
83940.746,299.612,0.976,24.978,304.457,303.221,-7.565,-5.350,-2.779,-2.296,-1.835,-5.085,-6.407,-5.993,-5.024,-1.667,0.634,-6.902,0.314,-1.463,-3.420,-5.628,-6.615,-544.798,-289.718,14.557,89.982,-34.983
83944.777,299.611,0.976,24.987,304.694,302.901,-7.673,-4.793,-3.848,-2.714,-1.619,-6.641,-6.620,-6.528,-4.019,-1.771,-0.211,-6.159,-0.523,-1.463,-2.902,-5.516,-6.615,-544.798,-289.718,14.557,90.031,-34.993
83936.715,299.612,0.976,24.988,304.694,303.221,-7.781,-4.570,-2.565,-2.610,-1.187,-5.085,-6.513,-6.100,-3.796,-1.563,0.317,-6.583,1.152,-1.776,-3.420,-5.403,-6.605,-544.798,-289.718,14.557,89.999,-34.993
83944.777,299.612,0.976,24.983,304.615,303.381,-8.429,-5.127,-3.527,-2.610,-1.727,-5.915,-7.047,-7.705,-4.577,-2.500,-0.527,-7.008,-0.209,-1.776,-4.042,-6.191,-6.615,-544.798,-289.718,14.557,89.999,-34.993
83944.777,299.612,0.976,24.983,304.615,303.061,-8.429,-6.464,-3.313,-3.236,-1.835,-6.019,-6.407,-6.207,-4.688,-2.292,-0.105,-6.477,0.314,-1.567,-2.902,-5.741,-6.605,-544.798,-289.718,14.557,90.015,-34.993
83936.715,299.612,0.976,24.981,304.536,303.061,-7.889,-4.235,-3.954,-2.192,-1.511,-6.123,-6.300,-6.207,-3.349,-2.501,-0.211,-6.796,0.209,-1.358,-3.213,-4.953,-6.615,-544.798,-289.718,14.557,89.999,-35.003
83932.683,299.611,0.976,24.988,304.694,302.901,-7.457,-4.235,-2.244,-1.775,-0.432,-4.774,-5.873,-5.350,-3.460,-1.771,0.211,-6.690,0.524,-2.821,-3.731,-5.966,-6.605,-544.798,-289.718,14.557,90.031,-35.003
83940.746,299.614,0.976,24.984,304.615,302.901,-8.537,-5.350,-4.061,-2.401,-1.835,-5.500,-6.193,-6.849,-3.795,-1.042,0.211,-6.371,0.524,-1.045,-4.250,-6.079,-6.615,-544.798,-289.718,14.557,90.015,-35.003
83940.746,299.612,0.976,24.987,304.694,302.901,-7.781,-5.573,-3.313,-2.505,-1.619,-6.745,-7.154,-5.778,-5.134,-2.292,-0.000,-6.902,0.419,-1.567,-3.213,-6.079,-6.626,-544.798,-289.718,14.557,90.015,-35.024
83932.683,299.612,0.976,24.988,304.694,303.221,-8.321,-4.458,-3.848,-2.923,-1.619,-5.604,-6.513,-6.100,-3.907,-3.230,-0.316,-7.114,-0.314,-2.612,-3.939,-5.516,-6.605,-544.798,-289.718,14.557,90.031,-35.003
83936.715,299.614,0.976,24.988,304.694,303.221,-8.537,-5.461,-3.206,-3.132,-2.051,-6.019,-6.834,-6.849,-4.688,-2.292,-1.265,-7.221,-0.418,-2.612,-3.939,-5.966,-6.595,-544.798,-289.718,14.557,90.015,-35.014
83936.715,299.614,0.976,24.991,304.773,303.221,-8.321,-5.238,-3.313,-2.401,-2.591,-5.500,-6.620,-6.742,-4.130,-1.667,0.528,-7.008,0.942,-1.149,-4.457,-5.853,-6.595,-544.798,-289.718,14.557,90.015,-35.003
83936.715,299.612,0.976,24.994,304.852,303.221,-7.890,-5.015,-3.206,-2.192,-1.295,-5.915,-6.620,-6.421,-4.800,-2.188,0.423,-6.796,0.628,-1.254,-3.006,-5.628,-6.605,-544.798,-289.718,14.557,90.031,-35.003
83932.683,299.612,0.976,24.995,304.852,303.381,-7.242,-4.012,-2.672,-2.505,-1.079,-5.189,-6.941,-6.314,-4.130,-2.813,-0.211,-6.902,0.209,-1.567,-3.731,-5.403,-6.605,-544.798,-289.718,14.557,90.031,-34.983
