%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
82670.857,301.199,0.956,15.070,108.579,107.705,-7.241,-5.350,-2.565,-1.670,-1.619,-5.604,-6.407,-5.993,-3.907,-1.355,0.634,-6.053,0.419,-0.836,-3.524,-5.291,-3.888,-544.798,-289.718,14.557,-89.966,-35.030
82678.919,301.199,0.956,15.080,108.737,107.705,-7.782,-4.570,-2.886,-2.088,-0.864,-5.707,-6.513,-5.886,-3.796,-1.355,0.317,-5.947,0.733,-0.731,-3.213,-5.742,-3.867,-544.798,-289.718,14.557,-89.999,-35.030
82666.825,301.198,0.956,15.076,108.658,107.545,-7.458,-3.901,-2.886,-2.088,-1.187,-5.085,-6.193,-5.886,-3.349,-2.084,1.268,-6.053,0.628,-1.358,-3.524,-5.179,-3.867,-544.798,-289.718,14.557,-90.015,-35.020
82674.888,301.201,0.956,15.064,108.500,107.865,-8.214,-4.570,-2.672,-2.610,-1.511,-5.604,-6.513,-6.314,-4.019,-1.355,-0.105,-6.691,0.628,-1.567,-3.109,-5.291,-3.898,-544.798,-289.718,14.557,-89.983,-35.040
82678.919,301.202,0.956,15.075,108.658,107.545,-7.458,-4.904,-2.672,-2.401,-1.943,-5.707,-6.407,-6.207,-4.689,-1.563,0.845,-6.797,0.628,-1.254,-3.213,-5.179,-3.867,-544.798,-289.718,14.557,-90.031,-35.030
82674.888,301.196,0.956,15.064,108.500,107.545,-7.566,-4.347,-3.207,-2.296,-1.295,-6.122,-6.086,-6.207,-3.796,-1.980,0.317,-6.266,0.314,-1.672,-3.109,-6.192,-3.877,-544.798,-289.718,14.557,-90.031,-35.040
82666.825,301.201,0.956,15.065,108.500,107.545,-7.890,-4.458,-2.886,-2.505,-1.511,-5.396,-7.261,-6.529,-3.461,-1.876,-0.000,-6.160,0.733,-1.567,-3.628,-5.291,-3.877,-544.798,-289.718,14.557,-90.015,-35.050
82670.857,301.199,0.956,15.070,108.579,107.705,-8.647,-4.235,-2.993,-2.818,-1.403,-5.292,-6.407,-6.743,-3.572,-1.563,-0.316,-6.266,0.524,-0.940,-3.731,-5.066,-3.898,-544.798,-289.718,14.557,-90.015,-35.020
82670.857,301.196,0.956,15.070,108.579,107.385,-7.241,-5.796,-3.634,-1.983,-1.403,-5.811,-6.193,-5.886,-4.465,-1.459,0.634,-6.903,0.314,-1.045,-3.213,-5.179,-3.908,-544.798,-289.718,14.557,-89.999,-35.009
82678.919,301.198,0.956,15.069,108.579,107.545,-8.322,-4.235,-3.848,-2.818,-1.835,-6.226,-6.513,-6.421,-3.907,-1.876,0.423,-6.478,-0.000,-1.358,-3.420,-5.629,-3.888,-544.798,-289.718,14.557,-89.999,-35.030
