%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa],Angle of Attack [deg],Sting Normal Force [N],Sting Axial Force [N],Sting Pitching Moment [Nm],ELD Probe X axis [mm],ELD Probe Y axis [mm]
83892.369,299.254,0.977,24.861,301.814,299.161,-8.322,-5.238,-3.099,-2.401,-2.483,-5.915,-6.941,-6.849,-4.242,-1.876,0.211,-7.114,0.209,-1.776,-4.768,-5.628,-9.551,-544.798,-289.718,14.557,-90.230,-39.970
83888.338,299.254,0.977,24.859,301.735,298.521,-8.214,-4.904,-3.527,-2.192,-0.648,-5.707,-5.873,-5.885,-3.907,-0.834,0.740,-5.840,0.733,-1.776,-2.695,-6.191,-9.551,-544.798,-289.718,14.557,-90.213,-39.960
83896.401,299.254,0.977,24.854,301.656,298.841,-7.350,-4.124,-2.672,-2.505,-1.403,-5.189,-7.368,-6.100,-3.684,-2.396,0.106,-6.265,1.047,-1.358,-3.317,-5.853,-9.541,-544.798,-289.718,14.557,-90.213,-39.960
83900.432,299.253,0.977,24.853,301.656,299.161,-8.539,-5.127,-2.886,-2.923,-1.295,-5.189,-5.980,-6.100,-4.354,-1.355,-0.316,-6.477,0.314,-1.985,-3.628,-5.966,-9.562,-544.798,-289.718,14.557,-90.197,-39.970
83896.401,299.254,0.977,24.857,301.735,298.841,-7.566,-5.350,-3.099,-2.296,-2.159,-5.500,-7.261,-5.564,-4.131,-1.563,0.951,-6.690,1.047,-0.522,-3.109,-4.615,-9.541,-544.798,-289.718,14.557,-90.197,-39.970
83896.401,299.254,0.977,24.867,301.972,298.841,-7.025,-4.570,-3.848,-2.401,-1.295,-6.434,-6.300,-6.100,-4.354,-2.501,-0.738,-7.114,-0.627,-2.299,-4.250,-7.880,-9.551,-544.798,-289.718,14.557,-90.213,-39.940
83892.369,299.250,0.977,24.861,301.814,298.841,-8.539,-5.127,-3.313,-2.923,-1.619,-4.877,-6.620,-5.671,-3.796,-1.876,0.528,-5.946,0.838,-1.672,-3.109,-5.178,-9.531,-544.798,-289.718,14.557,-90.181,-39.960
83896.401,299.253,0.977,24.870,302.051,298.841,-8.214,-4.904,-3.206,-2.818,-2.159,-5.811,-6.513,-7.170,-4.800,-1.355,0.317,-6.265,1.047,-0.836,-3.213,-5.291,-9.531,-544.798,-289.718,14.557,-90.213,-39.950
83896.401,299.254,0.977,24.864,301.893,299.321,-7.674,-4.904,-3.420,-1.879,-1.295,-5.500,-6.513,-5.992,-4.241,-2.292,-0.316,-8.070,0.419,-1.985,-3.731,-6.078,-9.520,-544.798,-289.718,14.557,-90.164,-39.960
83896.401,299.251,0.977,24.857,301.735,298.841,-8.214,-5.127,-3.954,-3.027,-1.619,-6.745,-7.261,-6.421,-4.465,-1.980,0.317,-6.371,-0.314,-1.672,-3.420,-6.078,-9.510,-544.798,-289.718,14.557,-90.197,-39.950
83892.369,299.256,0.977,24.861,301.814,299.161,-8.214,-4.681,-2.886,-2.818,-1.295,-5.292,-7.154,-6.314,-3.683,-2.396,-0.211,-7.114,0.419,-2.299,-3.731,-5.403,-9.499,-544.798,-289.718,14.557,-90.181,-39.960
83892.369,299.254,0.977,24.855,301.656,299.161,-8.322,-4.681,-2.565,-2.192,-0.648,-5.085,-6.086,-6.100,-3.795,-1.667,0.528,-6.159,0.314,-1.358,-3.939,-5.853,-9.510,-544.798,-289.718,14.557,-90.197,-39.970
83896.401,299.254,0.977,24.861,301.814,299.001,-8.755,-5.907,-3.741,-2.610,-2.375,-6.123,-6.834,-6.528,-4.688,-1.980,0.528,-6.796,0.524,-1.045,-2.798,-5.178,-9.510,-544.798,-289.718,14.557,-90.230,-39.970
83892.369,299.254,0.977,24.864,301.893,299.161,-7.350,-4.012,-3.099,-1.775,-0.756,-5.604,-6.620,-5.992,-4.130,-2.084,-0.000,-7.008,-0.523,-1.045,-3.835,-5.966,-9.489,-544.798,-289.718,14.557,-90.181,-39.950
83892.369,299.253,0.977,24.858,301.735,299.161,-7.998,-4.793,-3.206,-2.610,-1.835,-5.500,-6.834,-5.564,-3.572,-1.563,0.528,-6.902,0.628,-1.985,-3.939,-5.966,-9.489,-544.798,-289.718,14.557,-90.213,-39.970
83892.369,299.253,0.977,24.864,301.893,299.321,-8.755,-5.461,-3.527,-2.505,-2.375,-6.538,-6.941,-7.063,-4.353,-2.292,-0.527,-6.902,0.314,-1.149,-3.524,-5.403,-9.489,-544.798,-289.718,14.557,-90.197,-39.970
83892.369,299.253,0.977,24.864,301.893,299.321,-7.565,-4.793,-2.672,-1.983,-0.216,-4.877,-6.620,-5.243,-4.576,-1.250,0.423,-6.371,0.628,-1.358,-3.317,-6.078,-9.499,-544.798,-289.718,14.557,-90.197,-39.960
83884.307,299.253,0.977,24.866,301.893,299.481,-7.997,-4.793,-4.275,-2.296,-1.835,-5.396,-6.300,-6.421,-3.683,-2.188,0.106,-6.477,-0.105,-1.254,-2.798,-5.065,-9.489,-544.798,-289.718,14.557,-90.197,-39.950
83892.369,299.253,0.977,24.861,301.814,299.641,-7.240,-4.458,-2.031,-3.027,-1.295,-5.396,-6.300,-5.992,-3.683,-1.563,0.106,-6.371,0.942,-1.881,-3.006,-5.403,-9.468,-544.798,-289.718,14.557,-90.197,-39.981
83884.307,299.251,0.977,24.869,301.972,299.962,-8.429,-4.793,-2.993,-1.983,-1.835,-5.292,-5.766,-6.635,-3.795,-1.563,0.211,-6.690,0.000,-1.358,-4.353,-5.178,-9.458,-544.798,-289.718,14.557,-90.197,-39.950
83888.338,299.251,0.977,24.868,301.972,299.641,-8.213,-5.350,-3.420,-2.818,-1.511,-5.189,-6.407,-5.671,-5.023,-1.667,0.106,-6.796,0.419,-1.463,-3.420,-6.191,-9.468,-544.798,-289.718,14.557,-90.213,-39.960
83888.338,299.251,0.977,24.868,301.972,299.641,-7.673,-4.570,-3.527,-2.714,-1.835,-6.123,-7.261,-6.742,-3.460,-2.605,-0.105,-6.902,0.419,-1.463,-3.939,-5.966,-9.458,-544.798,-289.718,14.557,-90.197,-39.970
83880.275,299.254,0.976,24.870,301.972,300.122,-8.321,-5.127,-3.206,-3.236,-1.619,-5.915,-6.513,-6.100,-4.465,-2.084,-0.633,-7.433,0.524,-2.925,-3.524,-5.628,-9.447,-544.798,-289.718,14.557,-90.197,-39.960
83888.338,299.254,0.977,24.872,302.051,300.282,-8.105,-5.350,-3.634,-2.505,-2.267,-5.500,-6.620,-6.849,-4.465,-2.292,0.634,-6.690,0.419,-1.149,-4.146,-5.966,-9.437,-544.798,-289.718,14.557,-90.213,-39.950
83888.338,299.253,0.977,24.868,301.972,300.442,-7.889,-5.238,-3.527,-2.401,-1.511,-5.915,-6.727,-6.314,-5.023,-1.563,0.211,-6.796,0.524,-1.567,-3.835,-6.078,-9.427,-544.798,-289.718,14.557,-90.181,-39.970
83888.338,299.254,0.977,24.875,302.131,300.282,-7.565,-3.455,-2.993,-1.461,-0.972,-4.462,-6.727,-5.564,-3.460,-2.501,0.423,-6.690,0.419,-1.254,-3.835,-5.403,-9.437,-544.798,-289.718,14.557,-90.230,-39.960
83888.338,299.251,0.977,24.875,302.131,300.602,-8.861,-5.350,-3.099,-3.340,-1.079,-5.915,-6.300,-6.635,-4.018,-1.667,-0.316,-7.008,0.419,-1.985,-3.628,-5.741,-9.427,-544.798,-289.718,14.557,-90.197,-39.970
83888.338,299.253,0.977,24.881,302.289,300.282,-7.457,-5.350,-3.313,-1.983,-2.267,-4.773,-6.407,-6.100,-4.241,-1.876,0.739,-7.221,0.209,-1.672,-4.042,-5.853,-9.437,-544.798,-289.718,14.557,-90.213,-39.970
83888.338,299.253,0.977,24.881,302.289,300.762,-7.781,-5.238,-3.206,-2.088,-0.540,-6.123,-6.620,-5.992,-4.130,-1.250,1.056,-6.053,0.419,-1.776,-3.524,-6.416,-9.416,-544.798,-289.718,14.557,-90.213,-39.970
83892.369,299.253,0.977,24.884,302.368,300.602,-8.321,-4.904,-4.596,-3.132,-2.159,-5.707,-7.261,-6.849,-4.353,-2.396,-0.422,-6.159,0.733,-1.567,-3.731,-4.953,-9.427,-544.798,-289.718,14.557,-90.197,-39.970
83888.338,299.251,0.977,24.884,302.368,300.762,-8.429,-4.570,-2.351,-1.775,-0.972,-5.292,-6.727,-6.421,-5.023,-2.084,-0.211,-6.477,0.209,-1.776,-3.628,-5.741,-9.416,-544.798,-289.718,14.557,-90.230,-39.960
83892.369,299.251,0.977,24.887,302.447,301.242,-7.997,-5.573,-2.993,-2.610,-2.051,-5.915,-6.193,-6.100,-3.125,-1.563,1.373,-6.477,0.942,-1.149,-3.628,-5.403,-9.406,-544.798,-289.718,14.557,-90.197,-39.970
83892.369,299.251,0.977,24.890,302.526,300.922,-7.348,-4.570,-3.206,-1.983,-1.295,-5.915,-6.727,-6.421,-4.241,-1.771,0.739,-6.053,0.942,-1.463,-3.939,-5.966,-9.406,-544.798,-289.718,14.557,-90.230,-39.970
83896.401,299.254,0.977,24.893,302.605,300.922,-7.673,-4.235,-3.099,-1.879,-1.403,-5.292,-7.047,-5.885,-3.795,-1.980,-0.105,-6.690,0.314,-2.090,-4.146,-6.191,-9.406,-544.798,-289.718,14.557,-90.181,-39.960
83896.401,299.253,0.977,24.893,302.605,300.602,-9.618,-5.796,-3.954,-2.714,-1.727,-5.396,-6.086,-6.100,-4.241,-1.980,-0.316,-5.734,0.314,-1.358,-3.317,-5.178,-9.416,-544.798,-289.718,14.557,-90.213,-39.960
83888.338,299.253,0.977,24.898,302.684,301.082,-7.457,-4.904,-3.313,-2.296,-1.835,-5.707,-6.300,-6.314,-4.130,-1.771,0.528,-7.433,0.105,-1.881,-3.731,-6.866,-9.427,-544.798,-289.718,14.557,-90.213,-39.960
83892.369,299.253,0.977,24.897,302.684,301.082,-8.429,-5.350,-3.954,-3.027,-1.403,-6.849,-7.261,-6.100,-4.576,-2.605,-0.633,-6.902,-1.045,-2.612,-4.250,-7.092,-9.427,-544.798,-289.718,14.557,-90.230,-39.981
83896.401,299.250,0.977,24.899,302.763,301.082,-8.753,-5.238,-3.741,-2.505,-1.295,-5.396,-6.620,-5.136,-3.795,-1.771,0.739,-6.690,1.152,-2.090,-3.731,-5.966,-9.427,-544.798,-289.718,14.557,-90.213,-39.950
83896.401,299.250,0.977,24.899,302.763,300.922,-9.078,-5.238,-3.848,-2.610,-1.943,-6.226,-6.513,-7.277,-4.130,-1.876,-0.211,-6.477,0.314,-1.776,-3.213,-4.615,-9.437,-544.798,-289.718,14.557,-90.197,-39.960
83896.401,299.253,0.977,24.903,302.842,301.082,-7.024,-4.904,-2.351,-1.775,-0.756,-4.877,-5.873,-5.885,-4.130,-1.980,0.634,-7.114,0.628,-1.358,-3.109,-6.191,-9.447,-544.798,-289.718,14.557,-90.213,-39.950
83896.401,299.256,0.977,24.909,303.000,301.082,-7.997,-4.793,-3.848,-2.505,-1.619,-6.123,-6.940,-6.207,-3.795,-2.188,-0.211,-6.477,-0.105,-1.985,-3.731,-5.628,-9.458,-544.798,-289.718,14.557,-90.230,-39.970
