type,latitude,longitude,altitude
T,40.0074,-105.2620,1649.00
T,40.0075,-105.2620,1649.00
T,40.0075,-105.2620,1648.80
T,40.0075,-105.2620,1649.10
T,40.0075,-105.2620,1650.50
T,40.0075,-105.2620,1650.80
T,40.0075,-105.2620,1651.10
T,40.0075,-105.2620,1651.60
T,40.0075,-105.2620,1651.80
T,40.0074,-105.2620,1652.30
T,40.0074,-105.2620,1653.70
T,40.0074,-105.2620,1653.90
T,40.0074,-105.2620,1653.90
T,40.0074,-105.2620,1654.10
T,40.0074,-105.2620,1654.60
T,40.0074,-105.2620,1655.30
T,40.0074,-105.2620,1655.70
T,40.0074,-105.2620,1655.60
T,40.0074,-105.2620,1654.90
T,40.0074,-105.2620,1654.30
T,40.0074,-105.2620,1654.00
T,40.0074,-105.2620,1654.30
T,40.0074,-105.2620,1654.50
T,40.0074,-105.2620,1654.50
T,40.0074,-105.2619,1654.30
T,40.0074,-105.2619,1654.10
T,40.0074,-105.2619,1654.20
T,40.0074,-105.2619,1654.70
T,40.0074,-105.2619,1655.10
T,40.0074,-105.2619,1655.10
T,40.0074,-105.2619,1654.80
T,40.0074,-105.2619,1654.40
T,40.0074,-105.2619,1654.20
T,40.0074,-105.2619,1654.40
T,40.0074,-105.2619,1654.70
T,40.0074,-105.2619,1654.60
T,40.0074,-105.2619,1654.50
T,40.0074,-105.2619,1654.10
T,40.0074,-105.2619,1653.80
T,40.0074,-105.2619,1653.60
T,40.0074,-105.2619,1653.80
T,40.0074,-105.2619,1653.70
T,40.0074,-105.2619,1653.20
T,40.0074,-105.2619,1652.70
T,40.0074,-105.2619,1652.50
T,40.0074,-105.2619,1652.60
T,40.0074,-105.2619,1652.70
T,40.0074,-105.2619,1652.60
T,40.0074,-105.2619,1652.30
T,40.0074,-105.2619,1652.30
T,40.0074,-105.2619,1652.30
T,40.0074,-105.2619,1652.30
T,40.0074,-105.2619,1652.30
T,40.0074,-105.2619,1652.30
T,40.0074,-105.2619,1652.30
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0073,-105.2619,1652.20
T,40.0073,-105.2619,1652.20
T,40.0073,-105.2619,1652.20
T,40.0073,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2619,1652.20
T,40.0074,-105.2618,1652.20
T,40.0074,-105.2618,1652.20
T,40.0074,-105.2619,1652.10
T,40.0074,-105.2619,1651.90
T,40.0073,-105.2619,1651.80
T,40.0073,-105.2619,1651.50
T,40.0073,-105.2619,1651.20
T,40.0073,-105.2619,1651.00
T,40.0073,-105.2619,1650.90
T,40.0073,-105.2619,1650.90
T,40.0073,-105.2619,1651.00
T,40.0073,-105.2619,1651.20
T,40.0073,-105.2619,1651.40
T,40.0073,-105.2619,1651.70
T,40.0073,-105.2619,1652.10
