%Atmospheric Pressure [Pa],Atmospheric Temperature [K],Airspeed Differential Pressure [Pa],Aux Differential Pressure [Pa],ELD Probe X axis [mm],ELD Probe Y axis [mm],Voltage [V]
82537.821,300.409,8.385,9.631,-203.531,215.262,1
82545.883,300.407,8.464,9.951,-203.531,215.272,1
82537.821,300.409,8.543,9.631,-203.564,215.252,1
82553.946,300.404,8.543,9.471,-203.515,215.283,1
82541.852,300.407,8.701,9.951,-203.547,215.283,1
82545.883,300.409,8.464,9.311,-203.531,215.272,1
82545.883,300.406,8.543,9.631,-203.531,215.272,1
82541.852,300.406,8.543,9.631,-203.531,215.262,1
82570.072,300.404,8.543,9.471,-203.547,215.303,1
82541.852,300.407,8.622,9.631,-203.531,215.252,1
82541.852,300.404,8.622,9.791,-203.515,215.272,1
82545.883,300.406,8.464,9.951,-203.547,215.283,1
82537.821,300.404,8.543,9.631,-203.531,215.293,1
82545.883,300.403,8.622,9.791,-203.547,215.262,1
82545.883,300.406,8.543,9.631,-203.547,215.272,1
82541.852,300.406,8.543,9.951,-203.547,215.262,1
82533.789,300.404,8.701,9.791,-203.531,215.252,1
82537.821,300.407,8.464,9.791,-203.531,215.272,1
82541.852,300.407,8.701,9.951,-203.531,215.283,1
82541.852,300.403,8.701,10.111,-203.531,215.272,1
82537.821,300.406,8.622,9.631,-203.531,215.272,1
82541.852,300.404,8.701,9.951,-203.531,215.283,1
82537.821,300.404,8.78,9.951,-203.531,215.272,1
82537.821,300.404,8.701,9.791,-203.515,215.293,1
82533.789,300.406,8.622,9.951,-203.531,215.272,1
82537.821,300.407,8.701,10.111,-203.547,215.272,1
82541.852,300.409,8.701,9.951,-203.547,215.283,1
82533.789,300.403,8.701,10.592,-203.547,215.272,1
82537.821,300.407,8.622,10.111,-203.531,215.283,1
82533.789,300.406,8.701,10.111,-203.531,215.262,1
82533.789,300.409,8.78,10.111,-203.547,215.262,1
82533.789,300.407,8.78,10.272,-203.564,215.293,1
82521.695,300.409,8.78,9.951,-203.547,215.262,1
82537.821,300.409,8.701,10.111,-203.547,215.272,1
82537.821,300.404,8.859,9.951,-203.531,215.272,1
82533.789,300.404,8.701,9.951,-203.547,215.262,1
82533.789,300.409,8.622,9.631,-203.547,215.272,1
82533.789,300.414,8.622,10.111,-203.531,215.293,1
82541.852,300.409,8.622,9.791,-203.531,215.262,1
82541.852,300.409,8.701,9.951,-203.498,215.272,1
82541.852,300.412,8.701,9.951,-203.531,215.272,1
82537.821,300.409,8.622,9.951,-203.547,215.272,1
82541.852,300.411,8.543,9.951,-203.547,215.293,1
82541.852,300.407,8.701,9.471,-203.547,215.272,1
82541.852,300.409,8.859,9.791,-203.531,215.293,1
82537.821,300.409,8.701,9.791,-203.531,215.272,1
82541.852,300.409,8.78,9.951,-203.547,215.272,1
82537.821,300.411,8.622,9.951,-203.531,215.272,1
82541.852,300.411,8.701,9.791,-203.547,215.272,1
82545.883,300.407,8.622,9.791,-203.498,215.272,1
82549.915,300.407,8.78,9.791,-203.547,215.262,1
82541.852,300.412,8.78,9.951,-203.547,215.272,1
82545.883,300.409,8.701,9.791,-203.531,215.252,1
82549.915,300.412,8.78,9.791,-203.547,215.262,1
82545.883,300.411,8.78,9.951,-203.531,215.283,1
82541.852,300.409,8.78,9.951,-203.564,215.293,1
82549.915,300.409,8.701,9.631,-203.564,215.272,1
82545.883,300.407,8.543,9.791,-203.547,215.272,1
82553.946,300.407,8.701,9.791,-203.531,215.262,1
82553.946,300.407,8.78,9.951,-203.498,215.262,1
82557.978,300.407,8.78,9.951,-203.515,215.272,1
82549.915,300.407,8.859,9.791,-203.547,215.262,1
82553.946,300.407,8.938,9.951,-203.547,215.283,1
82553.946,300.409,8.78,9.791,-203.515,215.262,1
82553.946,300.406,8.859,10.111,-203.531,215.293,1
82557.978,300.404,8.78,9.791,-203.531,215.262,1
82549.915,300.409,8.859,9.951,-203.547,215.272,1
82553.946,300.404,8.938,10.111,-203.531,215.283,1
82549.915,300.411,8.859,9.791,-203.564,215.272,1
82549.915,300.404,8.859,10.111,-203.515,215.262,1
82549.915,300.404,8.859,9.951,-203.547,215.262,1
82549.915,300.406,8.78,9.951,-203.515,215.283,1
82545.883,300.404,8.938,9.951,-203.531,215.262,1
82549.915,300.406,8.859,9.791,-203.515,215.283,1
82549.915,300.407,8.859,9.951,-203.531,215.283,1
82537.821,300.411,8.859,9.951,-203.531,215.283,1
82541.852,300.404,8.78,10.111,-203.547,215.272,1
82541.852,300.404,8.859,10.111,-203.531,215.262,1
82533.789,300.404,8.78,9.791,-203.547,215.262,1
82537.821,300.406,8.78,10.111,-203.531,215.272,1
82541.852,300.403,8.78,9.951,-203.564,215.262,1
82537.821,300.404,8.859,9.631,-203.547,215.272,1
82529.758,300.407,8.78,9.791,-203.58,215.272,1
82537.821,300.406,8.859,10.111,-203.531,215.283,1
82537.821,300.406,8.859,10.111,-203.531,215.272,1
82541.852,300.407,8.938,10.111,-203.515,215.272,1
82537.821,300.407,8.859,9.791,-203.58,215.283,1
82537.821,300.406,8.938,9.791,-203.515,215.252,1
82541.852,300.407,8.859,10.111,-203.547,215.252,1
82553.946,300.406,8.78,9.791,-203.547,215.262,1
82537.821,300.406,8.859,10.111,-203.564,215.272,1
82545.883,300.411,8.859,9.791,-203.547,215.262,1
82537.821,300.411,8.938,9.951,-203.547,215.262,1
82533.789,300.407,8.938,9.791,-203.515,215.252,1
82537.821,300.407,8.938,9.791,-203.547,215.272,1
82541.852,300.411,8.938,9.631,-203.547,215.262,1
82537.821,300.412,9.017,9.951,-203.531,215.303,1
82537.821,300.411,8.938,9.791,-203.531,215.252,1
82537.821,300.409,8.859,9.791,-203.547,215.283,1
82533.789,300.411,8.938,9.791,-203.531,215.262,1
82537.821,300.411,9.017,9.791,-203.547,215.272,1
82533.789,300.407,8.701,9.791,-203.515,215.272,1
82541.852,300.406,8.938,10.111,-203.547,215.272,1
82533.789,300.406,9.017,9.631,-203.547,215.283,1
82537.821,300.411,8.938,9.791,-203.531,215.272,1
82545.883,300.407,8.859,9.791,-203.531,215.272,1
