%Time (s)	Theta (rad)	Omega (rad/s)
	%3/5/20183:11 PM
0.1000	0.0000	-0.0105
0.2000	0.0000	0.0524
0.3000	0.0126	0.1780
0.4000	0.0377	0.3770
0.5000	0.0880	0.5760
0.6000	0.1508	0.6807
0.7000	0.2262	0.8901
0.8000	0.3267	0.9948
0.9000	0.4273	1.1833
1.0000	0.5655	1.4556
1.1000	0.7163	1.6336
1.2000	0.8922	1.8221
1.3000	1.0807	2.0106
1.4000	1.2943	2.2096
1.5000	1.5205	2.3143
1.6000	1.7593	2.5237
1.7000	2.0232	2.6389
1.8000	2.2871	2.7437
1.9000	2.5761	3.0369
2.0000	2.8903	3.1416
2.1000	3.2044	3.2463
2.2000	3.5437	3.5395
2.3000	3.9081	3.6442
2.4000	4.2726	3.7594
2.5000	4.6621	3.9689
2.6000	5.0642	4.0736
2.7000	5.4789	4.2726
2.8000	5.9188	4.4925
2.9000	6.3712	4.4401
3.0000	6.8110	4.5553
3.1000	7.2885	4.9114
3.2000	7.7911	5.1627
3.3000	8.3189	5.3512
3.4000	8.8593	5.4350
3.5000	9.4122	5.7805
3.6000	10.0154	6.1156
3.7000	10.6311	6.2622
3.8000	11.2720	6.6078
3.9000	11.9506	6.8906
4.0000	12.6418	6.8068
4.1000	13.3204	7.0791
4.2000	14.0618	7.5189
4.3000	14.8158	7.5922
4.4000	15.5823	8.0529
4.5000	16.3740	6.7125
4.6000	16.8641	3.0264
4.7000	17.0149	0.7645
4.8000	17.0777	0.7226
4.9000	17.1657	0.6597
5.0000	17.2034	0.2932
5.1000	17.2285	0.1047
5.2000	17.2285	0.0524
5.3000	17.2411	0.0628
5.4000	17.2411	0.0628
5.5000	17.2536	0.0628
5.6000	17.2536	0.0628
5.7000	17.2662	0.0628
5.8000	17.2662	0.0628
5.9000	17.2788	0.0628
6.0000	17.2788	0.0628
6.1000	17.2913	0.0628
6.2000	17.2913	0.0628
6.3000	17.3039	0.0524
6.4000	17.3039	0.1257
6.5000	17.3290	0.2094
6.6000	17.3416	0.1047
6.7000	17.3542	0.1780
6.8000	17.3793	0.3142
6.9000	17.4170	0.4503
7.0000	17.4673	0.4922
7.1000	17.5175	0.6388
7.2000	17.5929	0.7016
7.3000	17.6558	0.6702
7.4000	17.7311	0.8273
7.5000	17.8191	0.9111
7.6000	17.9071	0.7645
7.7000	17.9699	0.5655
7.8000	18.0202	0.3875
7.9000	18.0453	0.1047
8.0000	18.0453	-0.0209
