%Time (s)	Theta (rad)	Omega (rad/s)
	%3/5/20183:15 PM
0.1000	0.0000	-0.0209
0.2000	0.0000	0.1047
0.3000	0.0251	0.3770
0.4000	0.0754	0.6388
0.5000	0.1508	0.8168
0.6000	0.2388	0.9844
0.7000	0.3519	1.3195
0.8000	0.5027	1.6336
0.9000	0.6786	1.9373
1.0000	0.8922	2.3038
1.1000	1.1435	2.7960
1.2000	1.4577	3.5081
1.3000	1.8473	4.2830
1.4000	2.3122	4.9742
1.5000	2.8400	5.6549
1.6000	3.4306	5.9376
1.7000	4.0087	5.5501
1.8000	4.5365	5.0894
1.9000	5.0265	4.6286
2.0000	5.4664	4.3040
2.1000	5.8936	4.1888
2.2000	6.3083	4.1678
2.3000	6.7356	4.4192
2.4000	7.2005	4.9114
2.5000	7.7283	5.7596
2.6000	8.3566	6.7230
2.7000	9.0729	7.7702
2.8000	9.8897	8.1158
2.9000	10.6688	7.4875
3.0000	11.3851	6.8801
3.1000	12.0511	6.4612
3.2000	12.6920	6.5136
3.3000	13.3706	7.0791
3.4000	14.1246	8.1996
3.5000	15.0168	9.6970
3.6000	16.0221	9.8122
3.7000	16.9143	7.8330
3.8000	17.5301	3.6652
3.9000	17.6809	0.7749
4.0000	17.7563	0.5236
4.1000	17.7940	0.2199
4.2000	17.8065	0.1152
4.3000	17.8191	0.0628
4.4000	17.8191	-0.0209
4.5000	17.8191	0.0628
4.6000	17.8317	0.1152
4.7000	17.8442	0.1885
4.8000	17.8819	0.7226
4.9000	17.9950	1.4556
5.0000	18.1710	2.1677
5.1000	18.4097	2.2934
5.2000	18.5982	1.2462
5.3000	18.6611	0.3456
5.4000	18.6862	0.1676
5.5000	18.6988	0.0419
5.6000	18.6988	0.0209
5.7000	18.7113	0.3142
5.8000	18.7616	0.5655
5.9000	18.8244	0.8063
6.0000	18.9250	1.1624
6.1000	19.0506	1.2776
6.2000	19.1763	1.2566
6.3000	19.3019	1.2252
6.4000	19.4276	1.4242
6.5000	19.5910	1.7907
6.6000	19.7795	1.9268
6.7000	19.9680	1.8117
6.8000	20.1313	1.3299
6.9000	20.2319	0.7854
7.0000	20.2947	0.4922
7.1000	20.3324	0.2409
